,Organization Name,NY Reg #,EIN,Registrant Type,City,State
57,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
58,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
59,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
60,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
61,Freedom Fund,44-63-63,300805758,NFP,BROOKLYN,NY
62,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
63,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
64,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
65,"Harris, George D. Jr. Trust under Article 8 of Will",49-18-62,266660787,CRT,NO DATA AVAILABLE,
66,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
67,"HETL Association, Inc.",43-82-58,453307445,NFP,JAMAICA,NY
68,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
69,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
70,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
71,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
72,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
73,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
74,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
75,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
76,KEKST FAMILY FOUNDATION,03-98-66,133382250,NFP,NEW YORK,NY
77,KEUKA HOUSING COUNCIL INC,02-32-90,161092291,NFP,PENN YAN,NY
78,Koinonia Ventures Inc,46-53-18,821443905,NFP,WOODBURY,NY
79,"LUPUS FOUNDATION OF GENESEE VALLEY NY, INC.",03-68-42,222612041,NFP,ROCHESTER,NY
80,"Markowitz Family Foundation, Inc.",40-37-51,205613149,NFP,BROOKLYN,NY
81,Matan Baseser Foundation,40-37-98,205125738,NFP,BROOKLYN,NY
82,"MONROE FOUNDATION, INC.",20-85-77,223236708,NFP,NEW ROCHELLE,NY
83,Nazee & Joseph Moinian Foundation,44-61-47,471035983,NFP,NEW YORK,NY
84,"Odyssey Sport Soccer Club, Inc.",41-30-39,300474221,NFP,SHERRILL,NY
85,PITTSBURGH FOUNDATION,21-31-05,250965466,NFP,PITTSBURGH,PA
86,"POETIC Foundation, Inc.",43-15-65,800688254,NFP,STATEN ISLAND,NY
87,Riley Family Foundation (20-5973514),43-23-88,205973514,NFP,NORTHPORT,NY
88,"Sacred Music Chorale of Richmond Hill, Inc.",21-27-88,113457320,NFP,RICHMOND HILL,NY
89,S G of Rockland County Inc.,45-47-77,472138530,NFP,SPRING VALLEY,NY
90,"Singer, Theodore CRUT u/a dtd. July 16, 1998",47-70-09,116502880,CRT,NO DATA AVAILABLE,
91,STONE TRUST CORPORATION,40-25-60,060552923,NFP,STAMFORD,CT
92,"Thanc Foundation, Inc.",20-66-71,800062118,NFP,NEW YORK,NY
93,THE FRED STEIN FAMILY FOUNDATION,04-01-59,133389107,NFP,HAVERFORD,PA
94,The Humanitarian Resource Foundation International Inc. D/B/A Thrfi,43-53-81,460533581,NFP,GLEN COVE,NY
95,The New School of Syracuse,42-67-44,160986798,NFP,DEWITT,NY
96,University of Virginia Health Foundtion,40-44-88,412097394,NFP,CHARLOTTESVILLE,VA
97,Violin Player,41-40-19,270773158,NFP,LONDONDERRY,NH
98,"William A. Epps Community Center, Inc.",40-91-11,861074714,NFP,STATEN ISLAND,NY
99,"WORLD SOCIETY OF CZESTOCHOWA JEWS AND THEIR DESCENDENTS, INC.",40-46-49,205101779,NFP,NEW YORK,NY
100,"Yum-O Organization, Inc.",40-50-07,208107545,NFP,NEW YORK,NY
